model, model_parameter, features, r_2, database_size, coeffs, features_ranking
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'],0.47227808021,(677| 140),[0.02646585 0.01811428],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'SSIM'],0.41982034331,(677| 140),[ 0.0940969  -2.63052688],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'| 'SSIM'],0.624852481689,(677| 140),[ 0.03831087 -3.7338755 ],[1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['Aggregate_vmaf'],0.474775683774,(677| 140),[0.0255473],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'],0.352666658009,(677| 140),[0.06907202],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['SSIM'],0.0755779142573,(677| 140),[2.26919051],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['MS_SSIM'],0.026006043094,(677| 140),[2.10798278],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'],-0.0201149255808,(677| 140),[0.65395788],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockloss'],0.0446774251578,(677| 140),[-0.05336141],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blur'],-0.0130335108299,(677| 140),[-0.02788666],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['exposure'],-0.0238525475244,(677| 140),[-0.0023899],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['contrast'],-0.0118122935799,(677| 140),[-0.00023924],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['brightness'],-0.0134915055198,(677| 140),[0.03195166],[1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],0.72004869982,(677| 140),[ 5.45192433e-02  3.40775321e-02  2.38832331e+00 -8.08269967e+00 -1.89457753e-01  1.34807739e-03 -2.02591514e+00 -7.30996875e-03 -6.20886618e-02  8.85098893e-03 -3.13712498e+00  4.13358428e-03  3.92449148e-03 -4.01978026e-01 -5.70359515e-03  6.96413892e-01 -1.07581985e+00  1.20345174e+00  1.63153201e-01 -9.87198988e-01 -2.69675007e-01],[11 13  1  1  6 19  5 15 12 14  1 17 18 10 16  7  2  9  8  3  4]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],0.712051960088,(677| 140),[ 5.54095745e-02  3.41135439e-02  2.60082457e+00 -8.54594291e+00 -1.87265165e-01  1.18523717e-03 -2.22836570e+00 -7.62859749e-03 -6.89038908e-02  9.15603532e-03 -3.04185857e+00  4.11143250e-03  4.08439079e-03 -4.01714136e-01 -4.89458224e-03  5.69886416e-01 -9.39039358e-01  1.22367686e+00 -7.37353484e-03 -8.47150383e-01],[ 9 12  1  1  2 18  3 15 10 13  1 17 14  5 16  7  6  4 11  8]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],0.0721964941343,(677| 140),[ 9.23074141e-01 -2.94259739e-03 -7.80424895e+00 -5.82036432e-02 -5.89715512e-02 -2.83629419e-03  7.60576904e+01 -1.71396268e-03 -5.20871518e-03 -9.50914048e-02 -2.65218093e-04  1.05384892e-01  1.27030064e-02  3.37555648e-01 -6.43406213e-01  1.87762667e-01],[ 1 12  1  8  7 11  1 13 10  4 14  5  6  3  2  9]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],0.0725643928614,(677| 140),[ 9.17220970e-01 -2.88539443e-03 -7.76234517e+00 -5.82151423e-02 -5.63572444e-02 -3.02010838e-03  7.59463110e+01 -1.70713935e-03 -5.21073141e-03 -9.79814242e-02 -6.70536603e-04  1.40809747e-01 -2.92928928e-02  3.26669577e-01 -5.83883552e-01  1.45697121e-01 -7.79779509e-02],[ 1 13  1 10  9 12  1 14 11  2 15  8  6  3  5  7  4]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],0.0714254136469,(677| 140),[ 9.07961758e-01 -2.93844673e-03 -7.85797077e+00 -5.82499485e-02 -5.95277676e-02 -3.15210753e-03  7.54644726e+01 -1.69994135e-03 -5.03564078e-03 -9.50390127e-02  1.05900301e-01  1.25354530e-02  3.15058337e-01 -6.28171912e-01  1.94677821e-01 -2.55467844e-03],[ 1 13  1 10  9 12  1 14 11  2  8  6  3  5  7  4]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'],0.680268698413,(677| 140),[ 0.04520396  0.02756306 -0.03091699 -4.69054475],[1 2 1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'duration'],0.685516127286,(677| 140),[ 0.04274025  0.02733178 -0.91784897 -2.5450773   0.00503568],[1 2 1 1 3]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'duration'| 'one_res'],0.726473610101,(677| 140),[ 4.90343939e-02  3.75180686e-02  6.31508325e-01 -8.54090124e+00 -1.91271246e-03  7.99905696e-01],[2 3 1 1 4 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'duration'| 'one_res'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'],0.729665268835,(677| 140),[ 0.04226241  0.03849015  1.57057894 -7.70348006 -0.00990306 -0.89882059  0.7908369  -1.23572899  0.99204554  0.67689617 -1.22404962],[7 8 1 1 9 3 5 1 6 4 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'],0.71649147539,(677| 140),[ 0.0496407   0.0263031   4.03378376 -9.24988795  0.38414258],[2 3 1 1 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'exposure'],0.725684207419,(677| 140),[ 5.06600808e-02  2.62747503e-02  3.61811715e+00 -8.77784608e+00  3.86161504e-01  3.71294501e-03],[2 3 1 1 1 4]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blur'| 'blockloss'],0.692771554918,(677| 140),[ 4.64340611e-02  2.47839180e-02  2.42116708e+00 -7.08999237e+00  5.83914611e-03 -2.90658741e-02],[1 3 1 1 4 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'one_res'],0.72963286084,(677| 140),[ 0.04889191  0.03647789  1.17965034 -8.53708773  0.08573385  0.74549867],[3 4 1 1 1 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'exposure'| 'one_res'],0.755354264135,(677| 140),[ 5.08256097e-02  3.70298504e-02  2.02683771e-01 -7.57845381e+00  7.18503209e-02  7.20586784e-03  7.89971826e-01],[3 4 1 1 1 5 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blur'| 'blockloss'| 'one_res'],0.745311993708,(677| 140),[ 5.06337382e-02  3.38807167e-02  3.77852211e+00 -1.11825303e+01 -9.72826994e-03 -2.00903270e-02  7.75252662e-01],[2 3 1 1 5 4 1]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'blockiness'| 'blockloss'| 'blur'| 'one_res'],0.746833543979,(677| 140),[  0.04982105   0.03477976   2.7191938  -10.33909425  -0.56107744   0.01238602  -0.01432232  -0.05094707   0.96891165],[3 5 1 1 1 7 6 4 2]
LinearRegression,(copy_X=True| fit_intercept=True| n_jobs=None| normalize=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'brightness'| 'blockiness'| 'blockloss'| 'blur'],0.716758921494,(677| 140),[ 0.04855449  0.02614008  4.04790671 -9.17649992  0.51223829  0.34392939 -0.02961029  0.0458025 ],[3 6 1 1 2 1 4 5]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['PSNR'| 'Aggregate_vmaf'],0.61106055183,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['PSNR'| 'SSIM'],0.550546784276,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['Aggregate_vmaf'| 'SSIM'],0.558496486458,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['Aggregate_vmaf'],0.539075451961,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['PSNR'],0.53136116581,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['SSIM'],0.351886005008,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['MS_SSIM'],0.23086796263,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['blockiness'],-0.0140298893802,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['blockloss'],0.0377985124483,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['blur'],-0.0172580646834,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['exposure'],-0.29076270306,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['contrast'],-0.26722363447,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['brightness'],-0.00586718294297,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'brightness'| 'duration'| '1920x1080'| '352x288'| '3840x2160'| '640x480'| '704x576'| 'one_res'],0.122032578743,(677| 140),,[]
SVR,(C=0.7| cache_size=200| coef0=0.0| degree=3| epsilon=0.1|  gamma='auto_deprecated'| kernel='rbf'| max_iter=-1| shrinking=True|  tol=0.001| verbose=False),['PSNR'| 'Aggregate_vmaf'| 'SSIM'| 'MS_SSIM'| 'blockiness'| 'spatialactivity'| 'pillarbox'| 'blockloss'| 'blur'| 'temporalact'| 'blockout'| 'exposure'| 'contrast'| 'bright